Fault No.,Fault Name,Level,Car Type,D1,D2,D3,D4,D5,D6,D7,TD,C1
TMS-001,TMS CU1-CU1 com.fault,2,DT-CU1,Status data offline,Initialize 10s,hostler station off in unit,,,,,5s,
TMS-002,TMS CU1-CU2(DT1) com.fault,2,DT-CU1,Status data offline,Initialize 10s,hostler station off in unit,,,,,5s,
TMS-003,TMS CU1- CU2(DT2) com.fault,2,DT-CU1,Status data offline,Initialize 10s,hostler station off in unit,,,,,5s,
TMS-005,TMS CU1-LU com.fault(Car No.2),2,DT-CU1,Status data offline,Initialize 10s,hostler station off in unit,,,,,5s,
TMS-006,TMS CU1-LU com.fault(Car No.3),2,DT-CU1,Status data offline,Initialize 10s,hostler station off in unit,,,,,5s,
TMS-007,TMS CU1-LU com.fault(Car No.4),2,DT-CU1,Status data offline,Initialize 10s,hostler station off in unit,,,,,5s,
TMS-008,TMS CU1-LU com.fault(Car No.5),2,DT-CU1,Status data offline,Initialize 10s,hostler station off in unit,,,,,5s,
TMS-009,TMS CU1-LU com.fault(Car No.6),2,DT-CU1,Status data offline,Initialize 10s,hostler station off in unit,,,,,5s,
TMS-010,TMS CU1-LU com.fault(Car No.7),2,DT-CU1,Status data offline,Initialize 10s,hostler station off in unit,,,,,5s,
TMS-011,TMS CU1-LU com.fault(Car No.8),2,DT-CU1,Status data offline,Initialize 10s,hostler station off in unit,,,,,5s,
TMS-012,TMS CU1-LU com.fault(Car No.9),2,DT-CU1,Status data offline,Initialize 10s,hostler station off in unit,,,,,5s,
TMS-013,TMS CU1-LU com.fault(Car No.10),2,DT-CU1,Status data offline,Initialize 10s,hostler station off in unit,,,,,5s,
TMS-014,TMS CU1-LU com.fault(Car No.11),2,DT-CU1,Status data offline,Initialize 10s,hostler station off in unit,,,,,5s,
TMS-015,TMS CU1-DR(DT1) com.fault,3,DT-CU1,Status data offline,Initialize 10s,hostler station off in unit,,,,,5s,
TMS-016,TMS CU1- DR(DT2) com.fault,3,DT-CU1,Status data offline,Initialize 10s,hostler station off in unit,,,,,5s,
TMS-017,TMS BOTH DR com.fault,2,DT-CU1,TMS-015,TMS-016,,,,,,,
TMS-018,TMS front display com.fault(CU1),3,DT-CU1,Display no response,30s after Transmission start,Initialize 10s,,,,,10s,
TMS-019,TMS side display com.fault,3,DT-CU2,Display no response,30s after Side DU ON,Initialize 10s,,,,,10s,
TMS-020,TMS front display com.fault,3,DT-CU2,Display no response,30s after Display ON,Initialize 10s,,,,,10s,
TMS-021,TMS BOTH Display no response,2,DT-CU2,TMS-019,TMS-020,,,,,,,
TMS-022,TMS Display Backup,3,DT-CU2,Display Backup,Initial 10s,,,,,,,
TMS-027,TMS BOTH DR Card Holder No Response,2,DT-CU1,BOTH IC Card Holder enable,,,,,,,,
TMS-028,"TMS Node connection error(CU1,LU)",3,"DT-CU1,PM,M,T",Node connection error,Initial 10s,,,,,,5s,
TMS-029,TMS Node connection error(CU2),3,DT-CU2,Node connection error,Initial 10s,,,,,,5s,
TMS-030,TMS Node connection error(DR),3,,Node connection error,Initial 10s,,,,,,5s,
TMS-031,"TMS CPU-Car Type Error(CU1,LU)",3,"DT-CU1,PM,M,T",detect Line abnormal,,,,,,,,
TMS-032,TMS CPU-Car Type Error(CU2),3,DT-CU2,detect Line abnormal,,,,,,,,
TMS-040,"TMS DO board fault(CU1,LU)",2,"DT-CU1,PM,M,T",DOS3 card is stall,,,,,,,,
TMS-041,TMS DO board fault(CU2),2,DT-CU2,DOS3 card is stall,,,,,,,,
TMS-042,"NO M.ITEM/Fault D.B(CU1,LU)",3,"DT-CU1,PM,M,T",M.item/Fault D.B not exist,,,,,,,,
TMS-043,NO M.ITEM/Fault D.B(CU2),3,DT-CU2,M.item/Fault D.B not exist,,,,,,,,
TMS-044,NO M.ITEM/Fault D.B(DR),3,,M.item/Fault D.B not exist,,,,,,,,
TMS-045,"NO UDT D.B (CU1, LU)",3,"DT-CU1,PM,M,T",UDT D.B not exist,,,,,,,,
TMS-046,NO UDT D.B (CU2),3,DT-CU2,UDT D.B not exist,,,,,,,,
TMS-047,"NO HINT FILE (CU1, LU)",3,DT-CU1,Hint D.B not exist,,,,,,,,
TMS-048,NO HINT FILE (CU2),3,DT-CU2,Hint D.B not exist,,,,,,,,
TMS-049,"NO PASSWORD FILE (CU1, LU)",3,DT-CU1,Password File not exist,,,,,,,,
TMS-050,NO PASSWORD FILE (CU2),3,DT-CU2,Password File not exist,,,,,,,,
TMS-051,"NO TMS PARAMETER FILE (CU1, LU)",3,"DT-CU1,PM,M,T",TMS parameter not exist,,,,,,,,
TMS-052,NO TMS PARAMETER FILE (CU2),3,DT-CU2,TMS parameter not exist,,,,,,,,
TMS-053,NO DOOR PARAMETER FILE,3,"DT-CU2,PM,M,T",Door parameter not exist,,,,,,,,
